x,y,z,status
-0.13053126869913992,-0.8815858483483633,-0.37799456184124147,idle
-0.13200434976349287,-0.8965191336310759,-0.4739464440104642,idle
-0.1338231400062114,-0.8769643162516189,-0.3865301339963685,idle
-0.138389662606141,-0.9141376836755682,-0.4158095815829648,idle
-0.14170499851822266,-0.9026002237178999,-0.36890694707699156,idle
-0.14505285176917845,-0.915405692429443,-0.4249012134950999,idle
-0.1329474710161979,-0.8884674156963865,-0.46262063760301003,idle
-0.14123531613568116,-0.8863248445684443,-0.4134177512716417,idle
-0.1425732704743531,-0.8934800865396064,-0.39197311282087666,idle
-0.12857926853565568,-0.9042584649857383,-0.42740646673970467,idle
-0.13193724989127598,-0.8621191671062667,-0.39116696035081644,idle
-0.13520833098905818,-0.8807093683060957,-0.4986866921618003,idle
-0.1201684466212761,-0.8740838395918384,-0.4026652924688724,idle
-0.1565932674811935,-0.8750111010096425,-0.47366602417529746,idle
-0.1288549903361668,-0.8935929925057173,-0.3575456974127469,idle
-0.12437083350653905,-0.8737323026518398,-0.42086187231267513,idle
-0.1319486559906425,-0.9009126174001215,-0.4121623374284743,idle
-0.15132429070148962,-0.8914761437454393,-0.46409965939877174,idle
-0.1560361933834492,-0.9241026988215219,-0.45622084225757553,idle
-0.13597638018633934,-0.8868998663447113,-0.3882198177515647,idle
-0.12858128126308713,-0.9086560464327523,-0.39782554092192796,idle
-0.1358511564611853,-0.8923229498882881,-0.4278667765793117,idle
-0.1441505775408789,-0.8825686210563051,-0.42817597070584534,idle
-0.1330526022365344,-0.9130674531895444,-0.41128342619475017,idle
-0.12772294834959788,-0.8977186305112852,-0.38390113669484016,idle
-0.12443664786389286,-0.9053196391542665,-0.36746775420401184,idle
-0.12873287925333887,-0.8804515785953874,-0.43370105122360264,idle
-0.12179274776416342,-0.9221382166052404,-0.3967062790894664,idle
-0.13208396700766045,-0.9070527127061075,-0.4254948623108544,idle
-0.13344492867392388,-0.9340320243974601,-0.42143571244440614,idle
-0.13562045490931735,-0.8804878576442484,-0.4677951329409218,idle
-0.14267649325055123,-0.9274910581876609,-0.37871868901445793,idle
-0.1455099304186571,-0.8895787480603238,-0.46317820906803187,idle
-0.11691793264623615,-0.8942976366508112,-0.350597804054743,idle
-0.13006277082396078,-0.9102562672370748,-0.44175412487630644,idle
-0.1324735571424787,-0.89315985518793,-0.4115051139970608,idle
-0.12616859739600325,-0.8985815986213266,-0.45032835700930907,idle
-0.14192055845776136,-0.889635984404896,-0.45580838908344934,idle
-0.1393813416922197,-0.8696798788462998,-0.4353977855314189,idle
-0.13302625782038577,-0.9161466779800561,-0.41408697456065074,idle
-0.13375110551983493,-0.9060161091332795,-0.4030361067334508,idle
-0.14064420360004712,-0.8457977993511062,-0.42756468220340893,idle
-0.12967606718625493,-0.8956678146749747,-0.37739044697382923,idle
-0.14151830642574625,-0.9129402084482481,-0.44286091162752966,idle
-0.1308448784580163,-0.884429632959373,-0.43872308879352606,idle
-0.1273485981395583,-0.894956294363688,-0.46092783693141837,idle
-0.14130331835623422,-0.874331545814461,-0.40865043299179776,idle
-0.14824590389506376,-0.8985207393105835,-0.42909086854615947,idle
-0.12813663981936088,-0.8866910508523648,-0.42293278935125617,idle
-0.13184538155038,-0.9466885719004365,-0.4459785508226186,idle
-0.14157633002261183,-0.91990220101967,-0.46136302612508,idle
-0.1343845930772264,-0.8839022448491536,-0.45312520740125783,idle
-0.14737423423065907,-0.9096772161462814,-0.39434110865694577,idle
-0.1404774776021118,-0.9015021226312346,-0.44738125706573334,idle
-0.12933560777477135,-0.9030707979032097,-0.4387885518501748,idle
-0.12855518204286587,-0.8301571027371721,-0.39194867922160603,idle
-0.12648188645102457,-0.8896280263468331,-0.43418310272842653,idle
-0.13057441045456925,-0.9055350479400789,-0.43487261139555555,idle
-0.12470762548290694,-0.8770016775430943,-0.41965886936857205,idle
-0.1283327485455082,-0.8711336203019144,-0.41961152916226857,idle
-0.13945084900812732,-0.8907791075305636,-0.402788000805063,idle
-0.13048940003270912,-0.9072177142686075,-0.42286816458871546,idle
-0.1379356158684227,-0.9564500164723565,-0.3932188311662637,idle
-0.13007609737679254,-0.8933498711594131,-0.3983002460526878,idle
-0.12959152979785543,-0.9182082362637424,-0.40868722718713874,idle
-0.14881836051251351,-0.8896531030757382,-0.4044022398416562,idle
-0.14348355484653302,-0.8776388263510759,-0.43900350961059625,idle
-0.13335344661209664,-0.8912675320879536,-0.44554109645771245,idle
-0.1215425269300101,-0.9144125834266548,-0.41261380721797586,idle
-0.13454710196903608,-0.8808950226280106,-0.43551165254893043,idle
-0.11198766814093115,-0.8690031952011672,-0.45782245214069095,idle
-0.13824481492485213,-0.8924864760823276,-0.44172350863580073,idle
-0.13679599924495306,-0.929467943508218,-0.3977145207940709,idle
-0.1466603396880768,-0.8887516624098865,-0.42529113514318007,idle
-0.14023622778736697,-0.9026437576805084,-0.3850920420534951,idle
-0.13122385317289725,-0.8856713667734843,-0.4008682351974687,idle
-0.12612224555314402,-0.8948479800159107,-0.42715598793811255,idle
-0.12000907979624854,-0.9112204756353081,-0.3844781934391873,idle
-0.1292695676219144,-0.9133123278597841,-0.40877576975686386,idle
-0.14234696516109652,-0.8969341385453494,-0.3258433204306606,idle
-0.13580433517833068,-0.9178561028544239,-0.44599904493643655,idle
-0.1319044565160523,-0.9065996114159199,-0.41609021529414286,idle
-0.13754667533020146,-0.8941051991434986,-0.4191104505550675,idle
-0.13064836723839252,-0.8955526716427249,-0.38773409036466766,idle
-0.1344887383138309,-0.9363916873644584,-0.4291117167616321,idle
-0.1380120611977146,-0.8927870382625152,-0.32934272947219445,idle
-0.1382936931653161,-0.890842390863797,-0.43694170691206147,idle
-0.14375177065799646,-0.9056481381703773,-0.41064775707415935,idle
-0.14257197249934078,-0.8983054778135822,-0.44151014659162613,idle
-0.14123591447181882,-0.8912229509710626,-0.45995062369241324,idle
-0.1503236549207234,-0.8944656259346268,-0.3973221092367275,idle
-0.14242121632363194,-0.9237912947873651,-0.390784181258317,idle
-0.13579919784489353,-0.9050377834641758,-0.35842045175597614,idle
-0.12561654165361658,-0.90396716187186,-0.4033394512238891,idle
-0.12527872736198611,-0.8919599950210759,-0.3783215786063254,idle
-0.14661023451450939,-0.8987587864034452,-0.39632881280321336,idle
-0.1413735385815795,-0.8783199684712314,-0.41113564435417066,idle
-0.13489130916093336,-0.8915577644717159,-0.3554325895234004,idle
-0.1442302234515903,-0.8995615581996327,-0.44949711880503906,idle
-0.12931703243440085,-0.8911370777810962,-0.429103570823446,idle
-0.13533838969891246,-0.8974606175408034,-0.42802132835010726,idle
-0.12769991546814588,-0.8916108675741692,-0.33438472133778285,idle
-0.14198344838697874,-0.8771866778785492,-0.43590473826344744,idle
-0.1276615259187233,-0.9051076091620464,-0.4226271632397806,idle
-0.14186939543338442,-0.8857867850138895,-0.4712336772388064,idle
-0.11857158331651563,-0.9086227178496727,-0.43816661798246287,idle
-0.13052814933584933,-0.9035911238185624,-0.3819862535508196,idle
-0.14369413085947194,-0.8955742402578232,-0.3805768122881916,idle
-0.14016541459150958,-0.8785317512590207,-0.4082272940368424,idle
-0.1366094417254662,-0.9117698691146504,-0.41040986685775116,idle
-0.12670593077276635,-0.8691410070793164,-0.41135542809058695,idle
-0.13143466106258572,-0.9072045447037744,-0.4277543427541005,idle
-0.1297382917776434,-0.9215236352644517,-0.4260989220109756,idle
-0.13466021216629187,-0.8834392983467897,-0.4094028648438921,idle
-0.12993657615076423,-0.9213356358277748,-0.47025836447815417,idle
-0.1336294582210743,-0.892645686689806,-0.43860552344284065,idle
-0.12421378327271512,-0.8830397082949497,-0.3976550221914537,idle
-0.13833784169237,-0.8870412897154903,-0.4069380875990793,idle
-0.14085071294135182,-0.8687886409694172,-0.4106753391403862,idle
-0.13729206911712846,-0.8939220224672889,-0.4685426222675087,idle
-0.13086777240575462,-0.8775951060680794,-0.4477424762235288,idle
-0.13626708390956502,-0.896373524154756,-0.4050506437708368,idle
-0.13641482629163024,-0.924622810813997,-0.4130731113275476,idle
-0.12428495932838296,-0.9052618026817724,-0.3640645547393074,idle
-0.1345394217302043,-0.9236323478642692,-0.3848433139051495,idle
-0.1391575776234919,-0.8579156948923474,-0.4213487784488396,idle
